"text","created","url","latitude","longitude","retweets","hashtag"
"Paying for a redundant wall, government shutdown, troop withdrawal, plummeting stocks, resignations, investigations<e2><80><a6> https://t.co/L7QkeDf7MZ",2018-12-23 13:20:24,"https://twitter.com/EricaDeKranes/status/1076829879025520640",NA,NA,0,"#nobannowall"
"Now up on Apple Podcasts! Take a listen to the latest action on @LeastCoastRadio! 

#TrumpResign<e2><80><a6> https://t.co/NR9Yym4rCA",2018-12-23 12:04:28,"https://twitter.com/JayPorks/status/1076810768362995712",NA,NA,0,"#nobannowall"
"Only 18220 hours until the end of President Trump's first term! #TreasonSummit #NoBanNoWall #TrumpCountdown",2018-12-23 11:27:36,"https://twitter.com/TrumpCountdown0/status/1076801493284483072",NA,NA,0,"#nobannowall"
"Hey @realDonaldTrump - 
You were saying something about your friends at ISIS ?
#trumpresign #FuckTrump<e2><80><a6> https://t.co/1XV8s5jnUx",2018-12-23 09:47:09,"https://twitter.com/clevophoto/status/1076776212754718720",NA,NA,0,"#nobannowall"
"Would you look at this racist Nazi!  

#RefugeesWelcome 
#NoBanNoWall 
#AbolishIce 

Did I do it right? https://t.co/fknpvvTRjt",2018-12-23 08:03:33,"https://twitter.com/PaulHook_em/status/1076750141825183744",NA,NA,5,"#nobannowall"
"#MerryChristmas, Trumpers! Your wall is a crudely rendered slatted fence. <f0><9f><a4><97>
#HappyHolidays <f0><9f><8e><84> #FelizNavidad<e2><80><a6> https://t.co/eRNh43yHGt",2018-12-23 04:44:12,"https://twitter.com/ItsBethFitzer/status/1076699974539177984",NA,NA,0,"#nobannowall"
"""We must honor our humanitarian responsibilities, process asylum claims according to current laws, and rethink our<e2><80><a6> https://t.co/SXldyaaTCj",2018-12-23 04:00:20,"https://twitter.com/oppagenda/status/1076688934783066112",NA,NA,0,"#nobannowall"
"President @realDonaldTrump is threatening to shutdown the government unless Congress sends billions of dollars more<e2><80><a6> https://t.co/FKSHCzE6ex",2018-12-23 03:13:44,"https://twitter.com/norma_neilson1/status/1076677207345500160",NA,NA,0,"#nobannowall"
"Maginot. 
Berlin. 
China. 
Westeros. 

Walls don<e2><80><99>t work. 
#trumpshutdown
#NoBanNoWall",2018-12-23 03:11:40,"https://twitter.com/BstandsforB/status/1076676684818968577",NA,NA,0,"#nobannowall"
"@LindseyGrahamSC What part of #NoBanNoWall did you not understand, Senator?",2018-12-23 02:50:41,"https://twitter.com/cxarli/status/1076671405297623040",NA,NA,0,"#nobannowall"
"President @realDonaldTrump is threatening to shutdown the government unless Congress sends billions of dollars more<e2><80><a6> https://t.co/KIbrakr6ZJ",2018-12-23 02:19:08,"https://twitter.com/2mellen20/status/1076663467774337024",NA,NA,0,"#nobannowall"
"@realDonaldTrump 70,000 love this, we<e2><80><99>re screwed #NoBanNoWall",2018-12-23 02:09:32,"https://twitter.com/2dogsdigital/status/1076661048537743361",NA,NA,0,"#nobannowall"
"Hey @realDonaldTrump, the Grinch could learn a thing or two from you about next-level Christmas pettiness.<e2><80><a6> https://t.co/E23q9WuEB3",2018-12-23 01:42:08,"https://twitter.com/TaePhoenix/status/1076654156981530624",NA,NA,0,"#nobannowall"
".@LindseyGrahamSC, #GOP #xenophobe and #bigot, kisses #trump<e2><80><99>s ring for the cameras. I feel sorry for you, Lindsey.<e2><80><a6> https://t.co/gtEWziRv7d",2018-12-23 01:29:52,"https://twitter.com/goldngater/status/1076651069017489408",NA,NA,0,"#nobannowall"
"Only 18230 hours until the end of President Trump's first term! #NoBanNoWall #Nixonian #TrumpCountdown",2018-12-23 01:27:36,"https://twitter.com/TrumpCountdown0/status/1076650498638340096",NA,NA,0,"#nobannowall"
"People tell @NancyPelosi &amp; @RepAdamSchiff we DONT want $1 Billion, $2 Billion, or even $5 Billion for a Wall ( or S<e2><80><a6> https://t.co/fLl92r13cF",2018-12-23 00:01:01,"https://twitter.com/trixywh/status/1076628707991867393",NA,NA,0,"#nobannowall"
"Hey @NancyPelosi @RepAdamSchiff i have an idea to end the #TrumpShutdown , $0 for the wall, instead of A Concrete o<e2><80><a6> https://t.co/tBAf0Y2PxA",2018-12-22 23:53:23,"https://twitter.com/trixywh/status/1076626785595543552",NA,NA,0,"#nobannowall"
"Fund the government. End this shutdown. | Friends of Bernie Sanders https://t.co/M9DbLzK53x Tell House &amp; Senate<e2><80><a6> https://t.co/LT8iP3TzOQ",2018-12-22 23:21:11,"https://twitter.com/julesrs007/status/1076618681902342145",NA,NA,0,"#nobannowall"
"<e2><ac><87> @realDonaldTrump #NoBanNoWall #TrumpShutdown #TrumpResign or better yet, let's wait for #HappyNewYear when you ar<e2><80><a6> https://t.co/amZQssAJzF",2018-12-22 22:40:01,"https://twitter.com/pamelakivett/status/1076608325243019265",NA,NA,1,"#nobannowall"
"Oh @iamsambee, you're making me cry. Here's to the people and organizations who are investing their time and money<e2><80><a6> https://t.co/Ld6SVeItlB",2018-12-22 22:39:37,"https://twitter.com/myoungflynn/status/1076608224546050048",NA,NA,0,"#nobannowall"
"<e2><80><9c>If you aren<e2><80><99>t #atthetable, you are clearly #onthemenu. #politicalhacks #nobannowall https://t.co/edUXVeROdF",2018-12-22 22:02:25,"https://twitter.com/LizWelchLive/status/1076598860217122816",NA,NA,0,"#nobannowall"
"@realDonaldTrump It<e2><80><99>s becoming obvious, to even your supporters, that you are unsuited for the task. #TrumpResign #NoBanNoWall",2018-12-22 22:02:13,"https://twitter.com/2dogsdigital/status/1076598810766389253",NA,NA,0,"#nobannowall"
"Not one $ for Trump<e2><80><99>s border wall!  #NoBanNoWall #TrumpResign https://t.co/EDC2WM637I",2018-12-22 21:53:16,"https://twitter.com/1stMrScott/status/1076596560627097600",NA,NA,0,"#nobannowall"
"So proud that our 5-person team was able to reunite Shaima, her son, Abdullah, &amp; her husband, Ali (with help from N<e2><80><a6> https://t.co/jI1u4SfjsM",2018-12-22 21:51:18,"https://twitter.com/KalinKipling/status/1076596066072506368",NA,NA,0,"#nobannowall"
"Our civil rights have no dependence on our religious opinions any more than our opinions in physics or geometry...<e2><80><a6> https://t.co/CLEYHXcdWm",2018-12-22 21:45:19,"https://twitter.com/Philosophe_Tee/status/1076594556219600896",NA,NA,1,"#nobannowall"
"This is why we love and respect #NotoriousRBG. Get well soon #JusticeGinsburg. We need you.  #Resist #NoBanNoWall<e2><80><a6> https://t.co/rdjE5heTHq",2018-12-22 20:12:40,"https://twitter.com/goldngater/status/1076571240595304448",NA,NA,1,"#nobannowall"
"Thank you so much! Our 5-person CAIR-SV team is so relieved that the family is reunited &amp; humbled by the attention<e2><80><a6> https://t.co/Xb9cXgnCxa",2018-12-22 20:08:44,"https://twitter.com/CAIRSacramento/status/1076570252576665600",NA,NA,1,"#nobannowall"
"Fuck trump #trumpshutdown #nobannowall https://t.co/kGmXl7RKYj",2018-12-22 19:56:57,"https://twitter.com/wingedisis/status/1076567288663474177",NA,NA,0,"#nobannowall"
"Surge at U.S. border pushes some evangelicals to help asylum seekers | Article [AMP] | Reuters<e2><80><a6> https://t.co/M4ln6N1MSU",2018-12-22 18:50:15,"https://twitter.com/VikkiMarshall4/status/1076550501049630720",NA,NA,0,"#nobannowall"
"And he dreamed of another world
In another time
And another place
Where no man
Has to wear a sign
Saying where he's<e2><80><a6> https://t.co/trfQZBzyE4",2018-12-22 18:41:15,"https://twitter.com/libcam/status/1076548234892451840",NA,NA,0,"#nobannowall"
"@AriMelber @BGHeaven And, for the adults in the room, let<e2><80><99>s be clear, while it would no doubt be better if they wer<e2><80><a6> https://t.co/L4V6m19kVn",2018-12-22 18:17:59,"https://twitter.com/thetruecq/status/1076542381124665344",NA,NA,1,"#nobannowall"
"It<e2><80><99>s actually incredibly informative! Can someone make one for #NoBanNoWall #TrumpChristmasShutdown2018 and a half<e2><80><a6> https://t.co/fDN5TGrJyy",2018-12-22 16:15:13,"https://twitter.com/noor_halabi/status/1076511484119842816",NA,NA,0,"#nobannowall"
"Lost amid all the news of the #TrumpShutdown yesterday: The SCOTUS dealt Trump a serious rebuke by refusing to hear<e2><80><a6> https://t.co/y4NNF0v8es",2018-12-22 15:43:31,"https://twitter.com/ToddBigPhoto/status/1076503507207737346",NA,NA,1,"#nobannowall"
"@realDonaldTrump Mulvaney said. <e2><80><9c>It<e2><80><99>s easy to tell people what they want to hear, <e2><80><98>build the darn fence, vote for m<e2><80><a6> https://t.co/BeMr7blf0C",2018-12-22 14:54:43,"https://twitter.com/2dogsdigital/status/1076491226201948160",NA,NA,0,"#nobannowall"
"Supreme Court rejects Trump's asylum ban
#NoBanNoWall #Immigration #SaturdayMorning 
https://t.co/e4JOq4tSbq",2018-12-22 14:50:52,"https://twitter.com/minervies/status/1076490256722075648",NA,NA,0,"#nobannowall"
"NOTE: this not directed at shutdown-affected employees. I hope the federal government gets its act together soon. And also, #NoBanNoWall",2018-12-22 14:49:29,"https://twitter.com/rebelmusicteach/status/1076489909748330496",NA,NA,0,"#nobannowall"
"Is this going to be the new chant? 
Build the Steel Slat Barrier
Build the Steel Slat Barrier

 #NoBanNoWall sounds<e2><80><a6> https://t.co/utblSU5nHH",2018-12-22 14:43:35,"https://twitter.com/girlsparky_/status/1076488426747179009",NA,NA,0,"#nobannowall"
"@realDonaldTrump Don<e2><80><99>t hold your breath #TrumpsShutdown #TrumpChristmasShutdown #NoBanNoWall",2018-12-22 13:55:08,"https://twitter.com/ellenoakes10/status/1076476231799971840",NA,NA,0,"#nobannowall"
"@NancyPelosi @SenSchumer @SenSanders Let me be clear #NoBorderWall #NoBanNoWall #DefendDACA #SaturdayMorning",2018-12-22 13:51:10,"https://twitter.com/LiberalNcali/status/1076475233836490756",NA,NA,0,"#nobannowall"
"Worried about the #GovernmentShutdown? Support the activists doing the work to keep the United States moving forwar<e2><80><a6> https://t.co/1RfUuVWEC8",2018-12-22 12:54:00,"https://twitter.com/UrgentAct/status/1076460847269113858",NA,NA,0,"#nobannowall"
"Pete Sessions is another embarrassing Texan member of the #ComplicitGOP , so when he<e2><80><99>s being cheesy it<e2><80><99>s not fondue<e2><80><a6> https://t.co/TBLxiGIwGF",2018-12-22 11:48:22,"https://twitter.com/labadorer/status/1076444332427829248",NA,NA,0,"#nobannowall"
"President @realDonaldTrump is threatening to shutdown the government unless Congress sends billions of dollars more<e2><80><a6> https://t.co/J3fYRqIXXg",2018-12-22 11:07:30,"https://twitter.com/DividedPeace/status/1076434046618660864",NA,NA,0,"#nobannowall"
"+ this fear of giving away $$ is real + this is also straight up classism, xenophobia, racism + disregard of poor f<e2><80><a6> https://t.co/B1SEtrYWcH",2018-12-22 10:18:46,"https://twitter.com/katiewuwang/status/1076421780787597312",NA,NA,0,"#nobannowall"
"Schumer should not negotiate with the mad man. Trump has shut down the government three times and it should be on h<e2><80><a6> https://t.co/5QmXaJEUe7",2018-12-22 08:42:26,"https://twitter.com/astrafandango/status/1076397537546780673",NA,NA,0,"#nobannowall"
"so, this is chilling... how bad will it have 2 get? #NotNormal #Chaos #ResignTrump #Corrupt #GOP #Con<e2><80><a6> https://t.co/bNlzmJGb8s",2018-12-22 08:29:14,"https://twitter.com/julesrs007/status/1076394217725935616",NA,NA,1,"#nobannowall"
"US government partially shuts down over border wall row https://t.co/1RPPuIZ1ZB 

Carry on, dissenters.<e2><80><a6> https://t.co/PdJDKKX4sd",2018-12-22 07:54:47,"https://twitter.com/NorthwestCali/status/1076385546543423489",NA,NA,1,"#nobannowall"
"mexico will pay for it! #NoBanNoWall https://t.co/cMAq3PuTQx",2018-12-22 06:24:03,"https://twitter.com/SqueakilyJr/status/1076362712106512384",NA,NA,0,"#nobannowall"
"Dress dark project day 700-
Climbing the escape ladder
#bethelight #lovetrumpshate #bethechangeyouwanttosee<e2><80><a6> https://t.co/eFTbkk7g7D",2018-12-22 05:45:23,"https://twitter.com/dressdark/status/1076352982298415106",NA,NA,1,"#nobannowall"
"#WallShutdown #TrumpShutdown #NoBanNoWall RT @thehill: #BREAKING: Government shutdown begins as midnight deadline p<e2><80><a6> https://t.co/EF5pXaR4bF",2018-12-22 05:09:38,"https://twitter.com/trixywh/status/1076343984761516032",NA,NA,1,"#nobannowall"
"Y<e2><80><99>all are funny<e2><80><a6><e2><80><9d>How wide are drugs?<e2><80><9d> <f0><9f><a4><a3>

#NoBanNoWall #Resist #TrumpResign",2018-12-22 04:42:26,"https://twitter.com/ArtMusicLife/status/1076337140479479813",NA,NA,0,"#nobannowall"
